MW,AliR_C,AroR_C,ChiA_C,SA,NHOH_C,HetA_C,RotB_C,BriA_C,HBD_C,HBA_C,FusedR_C,LogP_C,source
0.7968180000000004,0.25,1.0,0.3333333333333333,0.7666666666666666,0.16666666666666666,0.7,0.375,0.0,0.2,0.4,0.5,1.0148440000000007,ABL_dataset_2HZ0_GIN_processed
0.7568180000000002,0.25,1.0,0.0,0.6666666666666666,0.16666666666666666,0.7,0.625,0.0,0.2,0.6,0.3333333333333333,0.7990200000000005,ABL_dataset_2HZ0_GIN_processed
1.199464,1.75,0.3333333333333333,1.6666666666666667,1.5,0.8333333333333334,1.0,0.75,0.0,1.0,0.9,1.1666666666666667,0.5656000000000002,ABL_dataset_2HZ0_GIN_processed
0.42243400000000003,0.25,0.0,0.3333333333333333,0.5166666666666667,0.5,0.5,0.5,0.0,0.6,0.3,0.0,0.14299999999999996,ABL_dataset_2HZ0_GIN_processed
0.8270920000000003,0.75,0.0,0.3333333333333333,0.6833333333333332,0.5,1.0,0.625,0.0,0.6,0.9,0.3333333333333333,0.5652800000000002,ABL_dataset_2HZ0_GIN_processed
0.8572540000000003,1.5,0.3333333333333333,1.6666666666666667,1.4166666666666667,0.3333333333333333,0.7,0.25,0.0,0.4,0.7,1.1666666666666667,0.7569560000000004,ABL_dataset_2HZ0_GIN_processed
0.4585660000000001,0.25,0.3333333333333333,0.3333333333333333,0.6,0.16666666666666666,0.4,0.25,0.0,0.2,0.4,0.0,0.37263999999999997,ABL_dataset_2HZ0_GIN_processed
0.8728680000000004,0.25,0.6666666666666666,0.3333333333333333,0.6833333333333332,0.5,1.0,0.75,0.0,0.6,0.6,0.0,0.6632240000000003,ABL_dataset_2HZ0_GIN_processed
0.9239320000000001,1.0,0.0,0.8333333333333334,1.0833333333333333,1.0,1.1,0.875,1.0,1.2,0.6,0.5,0.3890899999999999,ABL_dataset_2HZ0_GIN_processed
0.8118520000000002,1.25,0.0,0.6666666666666666,0.9500000000000001,0.5,0.7,1.125,0.0,0.6,0.6,0.5,0.45831999999999995,ABL_dataset_2HZ0_GIN_processed
1.0370720000000007,0.0,1.0,0.5,0.7333333333333334,0.5,1.1,1.5,0.0,0.6,0.7,0.0,0.6574000000000002,ABL_dataset_2HZ0_GIN_processed
0.8250680000000004,0.75,0.3333333333333333,0.5,0.8166666666666668,0.5,0.7,0.625,0.0,0.6,0.7,0.6666666666666666,0.29856399999999994,ABL_dataset_2HZ0_GIN_processed
