MW,AliR_C,AroR_C,ChiA_C,SA,NHOH_C,HetA_C,RotB_C,BriA_C,HBD_C,HBA_C,FusedR_C,LogP_C,source
0.8029320000000002,0.25,1.0,0.0,0.6666666666666666,0.6666666666666666,0.6,0.625,0.0,0.8,0.6,0.3333333333333333,0.9553600000000007,ABL_dataset_2HZ0_GIN_processed
1.2395040000000006,0.75,0.0,1.5,1.0333333333333332,1.0,1.1,2.125,0.0,1.2,1.1,0.0,0.43256000000000033,ABL_dataset_2HZ0_GIN_processed
0.8991880000000002,0.5,0.6666666666666666,0.6666666666666666,0.8666666666666667,0.6666666666666666,0.8,0.75,0.0,0.8,0.8,0.3333333333333333,0.5882200000000003,ABL_dataset_2HZ0_GIN_processed
0.7529140000000003,0.5,0.0,0.6666666666666666,0.7000000000000001,0.6666666666666666,0.8,1.125,0.0,0.8,0.8,0.0,0.15605400000000008,ABL_dataset_2HZ0_GIN_processed
0.7868939999999999,0.5,0.6666666666666666,0.5,0.8166666666666668,0.8333333333333334,0.8,0.5,0.0,1.0,0.7,0.3333333333333333,0.3108399999999999,ABL_dataset_2HZ0_GIN_processed
0.520544,0.5,0.6666666666666666,0.3333333333333333,0.7666666666666666,0.0,0.6,0.375,0.0,0.0,0.5,0.5,0.37498,ABL_dataset_2HZ0_GIN_processed
0.7987640000000001,0.0,1.0,0.16666666666666666,0.6333333333333333,0.8333333333333334,1.0,0.5,0.0,1.0,0.6,0.0,0.5028599999999999,ABL_dataset_2HZ0_GIN_processed
0.7929820000000003,0.75,0.3333333333333333,0.16666666666666666,0.7166666666666667,0.5,0.7,0.75,0.0,0.6,0.7,0.3333333333333333,0.30978399999999995,ABL_dataset_2HZ0_GIN_processed
0.8789140000000002,1.25,0.0,0.5,0.9,0.16666666666666666,1.2,0.375,0.0,0.2,1.0,0.6666666666666666,0.44062,ABL_dataset_2HZ0_GIN_processed
0.9933540000000007,1.5,0.3333333333333333,1.0,1.2166666666666666,0.3333333333333333,0.8,0.75,0.0,0.4,0.6,0.3333333333333333,0.6937600000000005,ABL_dataset_2HZ0_GIN_processed
0.6808400000000001,0.5,0.0,0.6666666666666666,0.7000000000000001,1.0,0.7,0.625,0.0,1.2,0.6,0.0,0.0006400000000000184,ABL_dataset_2HZ0_GIN_processed
1.1073320000000004,1.0,0.3333333333333333,1.8333333333333333,1.3,0.5,1.0,0.625,0.0,0.6,0.7,0.3333333333333333,0.9815800000000008,ABL_dataset_2HZ0_GIN_processed
0.8238720000000002,0.25,0.6666666666666666,0.16666666666666666,0.6333333333333333,0.6666666666666666,0.9,0.875,0.0,0.8,0.6,0.3333333333333333,0.50092,ABL_dataset_2HZ0_GIN_processed
1.0553780000000006,1.25,0.3333333333333333,1.0,1.1333333333333333,0.6666666666666666,1.0,0.625,0.0,0.8,0.8,0.8333333333333334,0.34960000000000013,ABL_dataset_2HZ0_GIN_processed
1.0353280000000002,0.5,0.3333333333333333,0.6666666666666666,0.7833333333333333,0.6666666666666666,1.1,1.5,0.0,0.8,0.7,0.0,0.6983200000000002,ABL_dataset_2HZ0_GIN_processed
0.8469380000000005,1.0,0.3333333333333333,0.3333333333333333,0.85,0.16666666666666666,0.8,1.0,0.0,0.2,0.7,0.6666666666666666,0.5416800000000002,ABL_dataset_2HZ0_GIN_processed
0.9871260000000003,0.75,0.0,1.5,1.0333333333333332,0.3333333333333333,1.0,1.125,0.0,0.4,0.6,0.3333333333333333,0.7850600000000005,ABL_dataset_2HZ0_GIN_processed
0.5693560000000001,0.25,0.3333333333333333,0.16666666666666666,0.5499999999999999,0.3333333333333333,0.8,0.375,0.0,0.4,0.5,0.0,0.38422,ABL_dataset_2HZ0_GIN_processed
1.1611720000000003,1.25,0.6666666666666666,1.0,1.2166666666666666,0.3333333333333333,1.2,0.875,0.0,0.4,0.7,0.6666666666666666,0.8657200000000008,ABL_dataset_2HZ0_GIN_processed
0.8710620000000004,0.5,0.6666666666666666,0.5,0.8166666666666668,0.8333333333333334,1.1,0.5,0.0,0.8,0.9,0.3333333333333333,0.43536,ABL_dataset_2HZ0_GIN_processed
0.8448080000000001,0.25,0.3333333333333333,0.3333333333333333,0.6,0.6666666666666666,1.2,0.875,0.0,0.6,0.6,0.0,0.44718,ABL_dataset_2HZ0_GIN_processed
1.1751680000000004,1.0,0.3333333333333333,0.8333333333333334,1.0,1.1666666666666667,1.5,1.625,0.0,1.2,1.1,0.3333333333333333,0.27279600000000015,ABL_dataset_2HZ0_GIN_processed
1.0414140000000005,1.25,0.6666666666666666,1.1666666666666667,1.2666666666666666,1.0,1.0,1.0,0.0,1.2,1.0,1.0,0.45214,ABL_dataset_2HZ0_GIN_processed
0.376434,0.75,0.0,1.0,0.8833333333333333,0.16666666666666666,0.3,0.0,0.0,0.2,0.1,0.5,0.36869999999999997,ABL_dataset_2HZ0_GIN_processed
0.7448300000000002,0.25,0.6666666666666666,0.3333333333333333,0.6833333333333332,0.3333333333333333,0.6,0.625,0.0,0.4,0.3,0.0,0.7434600000000005,ABL_dataset_2HZ0_GIN_processed
0.8572040000000004,0.25,0.6666666666666666,0.6666666666666666,0.7833333333333333,0.3333333333333333,0.7,1.125,0.0,0.4,0.7,0.0,0.8977400000000006,ABL_dataset_2HZ0_GIN_processed
0.8892460000000004,0.75,0.0,1.0,0.8833333333333333,1.0,1.0,1.0,0.0,1.0,0.8,0.0,0.09644000000000036,ABL_dataset_2HZ0_GIN_processed
0.9789980000000007,0.75,0.6666666666666666,0.16666666666666666,0.7999999999999999,0.5,0.8,0.75,0.0,0.6,0.7,0.6666666666666666,1.005360000000001,ABL_dataset_2HZ0_GIN_processed
0.7872440000000005,1.0,0.3333333333333333,1.0,1.05,0.8333333333333334,0.6,0.75,0.0,1.2,0.4,0.6666666666666666,0.35600399999999993,ABL_dataset_2HZ0_GIN_processed
0.8156640000000002,0.25,0.3333333333333333,0.5,0.65,1.0,1.2,0.5,0.0,1.2,0.8,0.0,0.46709999999999996,ABL_dataset_2HZ0_GIN_processed
0.8188340000000002,0.75,0.3333333333333333,0.16666666666666666,0.7166666666666667,0.0,0.8,0.625,0.0,0.0,0.6,0.3333333333333333,0.8654600000000008,ABL_dataset_2HZ0_GIN_processed
0.8631080000000003,0.75,0.3333333333333333,0.5,0.8166666666666668,0.16666666666666666,0.7,0.625,0.0,0.2,0.5,0.3333333333333333,0.484,ABL_dataset_2HZ0_GIN_processed
0.9931800000000005,0.75,0.3333333333333333,1.0,0.9666666666666667,0.5,1.3,0.875,0.0,0.6,0.8,0.3333333333333333,-0.21101999999999901,ABL_dataset_2HZ0_GIN_processed
0.7770240000000005,1.5,0.0,1.3333333333333333,1.4000000000000001,0.6666666666666666,0.7,0.75,1.0,0.8,0.6,0.5,0.24885999999999991,ABL_dataset_2HZ0_GIN_processed
0.784698,0.0,0.6666666666666666,0.0,0.5,0.16666666666666666,1.0,0.75,0.0,0.2,0.4,0.0,0.9869000000000003,ABL_dataset_2HZ0_GIN_processed
0.7250280000000002,1.0,0.0,0.6666666666666666,0.8666666666666667,0.3333333333333333,0.5,0.375,0.0,0.4,0.3,0.0,0.7969400000000005,ABL_dataset_2HZ0_GIN_processed
0.5226360000000001,0.5,0.0,0.6666666666666666,0.7000000000000001,0.3333333333333333,0.6,0.25,0.0,0.4,0.3,0.0,0.33858,ABL_dataset_2HZ0_GIN_processed
1.1793560000000003,1.0,0.3333333333333333,1.8333333333333333,1.3,1.0,1.1,1.0,0.0,1.0,0.7,0.3333333333333333,0.7856800000000004,ABL_dataset_2HZ0_GIN_processed
0.8770120000000005,1.0,0.3333333333333333,0.8333333333333334,1.0,0.3333333333333333,1.1,0.75,0.0,0.4,1.0,0.0,0.22067999999999993,ABL_dataset_2HZ0_GIN_processed
0.8396300000000003,0.0,1.0,0.0,0.5833333333333334,0.5,0.9,0.625,0.0,0.6,0.4,0.0,0.9650200000000003,ABL_dataset_2HZ0_GIN_processed
0.39635599999999993,0.25,0.3333333333333333,0.0,0.5,0.5,0.6,0.5,0.0,0.6,0.6,0.3333333333333333,0.06605999999999998,ABL_dataset_2HZ0_GIN_processed
0.446632,0.5,0.0,0.16666666666666666,0.5499999999999999,0.6666666666666666,0.3,0.0,0.0,0.6,0.3,0.0,0.6582000000000001,ABL_dataset_2HZ0_GIN_processed
0.7797660000000003,0.5,0.3333333333333333,0.5,0.7333333333333334,0.16666666666666666,0.7,0.5,0.0,0.2,0.4,0.0,0.8892200000000008,ABL_dataset_2HZ0_GIN_processed
0.9711620000000005,0.75,0.3333333333333333,1.1666666666666667,1.0166666666666666,0.5,0.9,1.375,0.0,0.6,0.6,0.0,0.5478200000000004,ABL_dataset_2HZ0_GIN_processed
0.8928660000000005,0.5,0.3333333333333333,0.16666666666666666,0.6333333333333333,0.3333333333333333,1.1,1.125,0.0,0.4,0.8,0.3333333333333333,0.43155600000000005,ABL_dataset_2HZ0_GIN_processed
0.8771000000000004,0.25,0.3333333333333333,0.3333333333333333,0.6,0.3333333333333333,1.0,1.875,0.0,0.4,0.9,0.0,0.3234199999999999,ABL_dataset_2HZ0_GIN_processed
0.41248999999999997,0.25,0.3333333333333333,0.0,0.5,0.3333333333333333,0.4,0.25,0.0,0.4,0.2,0.0,0.26149999999999995,ABL_dataset_2HZ0_GIN_processed
0.9671820000000005,0.75,0.3333333333333333,1.0,0.9666666666666667,0.8333333333333334,1.2,1.125,0.0,1.0,1.0,0.3333333333333333,-0.0036599999999995525,ABL_dataset_2HZ0_GIN_processed
0.8680100000000004,0.25,0.6666666666666666,0.3333333333333333,0.6833333333333332,0.3333333333333333,0.7,1.25,0.0,0.4,0.5,0.0,1.201560000000001,ABL_dataset_2HZ0_GIN_processed
1.0974380000000006,1.0,0.3333333333333333,1.6666666666666667,1.25,0.6666666666666666,0.9,0.875,0.0,0.8,0.5,0.3333333333333333,0.8793600000000007,ABL_dataset_2HZ0_GIN_processed
0.8727880000000003,0.5,0.3333333333333333,0.16666666666666666,0.6333333333333333,1.1666666666666667,1.2,0.625,0.0,1.0,0.8,0.0,0.2832800000000001,ABL_dataset_2HZ0_GIN_processed
0.8290920000000003,1.0,0.3333333333333333,1.0,1.05,0.3333333333333333,0.6,0.875,0.0,0.4,0.6,0.3333333333333333,0.7509400000000005,ABL_dataset_2HZ0_GIN_processed
1.1213760000000004,1.0,0.0,1.0,0.9666666666666667,0.5,1.0,0.875,0.0,0.6,0.8,0.6666666666666666,0.7166600000000004,ABL_dataset_2HZ0_GIN_processed
0.36443799999999993,0.25,0.0,0.3333333333333333,0.5166666666666667,0.16666666666666666,0.3,0.25,0.0,0.2,0.2,0.0,0.5183800000000002,ABL_dataset_2HZ0_GIN_processed
0.9590560000000004,1.75,0.0,1.5,1.3666666666666665,0.8333333333333334,1.1,0.5,0.0,1.0,0.8,1.0,0.23597999999999986,ABL_dataset_2HZ0_GIN_processed
0.7910440000000004,0.5,0.6666666666666666,0.3333333333333333,0.7666666666666666,0.3333333333333333,0.5,1.0,0.0,0.4,0.3,0.0,1.0045800000000007,ABL_dataset_2HZ0_GIN_processed
1.1373160000000002,1.0,0.6666666666666666,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.1,0.5,0.0,0.8,0.7,0.8333333333333334,1.238864000000001,ABL_dataset_2HZ0_GIN_processed
0.8378660000000004,0.0,0.3333333333333333,0.3333333333333333,0.5166666666666667,0.16666666666666666,0.7,1.625,0.0,0.2,0.5,0.0,1.0699600000000011,ABL_dataset_2HZ0_GIN_processed
0.7696900000000001,0.5,0.3333333333333333,0.16666666666666666,0.6333333333333333,0.6666666666666666,1.0,0.75,0.0,0.8,0.8,0.3333333333333333,0.36044,ABL_dataset_2HZ0_GIN_processed
0.8578920000000003,0.5,0.0,0.3333333333333333,0.6,0.8333333333333334,1.1,0.875,0.0,1.0,0.6,0.0,0.27624000000000004,ABL_dataset_2HZ0_GIN_processed
0.7970720000000003,1.0,0.0,0.6666666666666666,0.8666666666666667,0.5,0.8,0.875,0.0,0.6,0.8,0.0,0.2886160000000001,ABL_dataset_2HZ0_GIN_processed
